ID,Actual_Address,Actual_Longitude,Actual_Latitude,Matched_Address,Matched_Longitude,Matched_Latitude,Geodetic_Distance_m
1,"21 New Bond Street, Kingsland, 1021",174.7472405,-36.868833,"21 New Bond Street, Kingsland, 1021",174.7472405,-36.868833,0
2,"15 Tuarangi Road, Grey Lynn, Auckland, 1021",174.7361255,-36.86456362,"80 Tuarangi Road, Grey Lynn, Auckland, 1021",174.731548,-36.86661508,501
3,"10 Rakau Road, Hataitai, Wellington 6021",174.7991496,-41.29812025,"28 Rakau Road, Hataitai, Wellington 6021",174.7980438,-41.29858513,161
4,Actual Address 4,Actual Long 4,Actual Lat 4,Matched Address 4,Matched Long 4,Matched Lat 4,20
5,Actual Address 5,Actual Long 5,Actual Lat 5,Matched Address 5,Matched Long 5,Matched Lat 5,695
6,Actual Address 6,Actual Long 6,Actual Lat 6,Matched Address 6,Matched Long 6,Matched Lat 6,42
7,Actual Address 7,Actual Long 7,Actual Lat 7,Matched Address 7,Matched Long 7,Matched Lat 7,30
8,Actual Address 8,Actual Long 8,Actual Lat 8,Matched Address 8,Matched Long 8,Matched Lat 8,7
9,Actual Address 9,Actual Long 9,Actual Lat 9,Matched Address 9,Matched Long 9,Matched Lat 9,16
10,Actual Address 10,Actual Long 10,Actual Lat 10,Matched Address 10,Matched Long 10,Matched Lat 10,19
11,Actual Address 11,Actual Long 11,Actual Lat 11,Matched Address 11,Matched Long 11,Matched Lat 11,178
12,Actual Address 12,Actual Long 12,Actual Lat 12,Matched Address 12,Matched Long 12,Matched Lat 12,273
13,Actual Address 13,Actual Long 13,Actual Lat 13,Matched Address 13,Matched Long 13,Matched Lat 13,8
14,Actual Address 14,Actual Long 14,Actual Lat 14,Matched Address 14,Matched Long 14,Matched Lat 14,802
15,Actual Address 15,Actual Long 15,Actual Lat 15,Matched Address 15,Matched Long 15,Matched Lat 15,14
16,Actual Address 16,Actual Long 16,Actual Lat 16,Matched Address 16,Matched Long 16,Matched Lat 16,352
17,Actual Address 17,Actual Long 17,Actual Lat 17,Matched Address 17,Matched Long 17,Matched Lat 17,20
18,Actual Address 18,Actual Long 18,Actual Lat 18,Matched Address 18,Matched Long 18,Matched Lat 18,65
19,Actual Address 19,Actual Long 19,Actual Lat 19,Matched Address 19,Matched Long 19,Matched Lat 19,22
20,Actual Address 20,Actual Long 20,Actual Lat 20,Matched Address 20,Matched Long 20,Matched Lat 20,12
21,Actual Address 21,Actual Long 21,Actual Lat 21,Matched Address 21,Matched Long 21,Matched Lat 21,13
22,Actual Address 22,Actual Long 22,Actual Lat 22,Matched Address 22,Matched Long 22,Matched Lat 22,18
23,Actual Address 23,Actual Long 23,Actual Lat 23,Matched Address 23,Matched Long 23,Matched Lat 23,15
24,Actual Address 24,Actual Long 24,Actual Lat 24,Matched Address 24,Matched Long 24,Matched Lat 24,18
25,Actual Address 25,Actual Long 25,Actual Lat 25,Matched Address 25,Matched Long 25,Matched Lat 25,11
26,Actual Address 26,Actual Long 26,Actual Lat 26,Matched Address 26,Matched Long 26,Matched Lat 26,15
27,Actual Address 27,Actual Long 27,Actual Lat 27,Matched Address 27,Matched Long 27,Matched Lat 27,13
28,Actual Address 28,Actual Long 28,Actual Lat 28,Matched Address 28,Matched Long 28,Matched Lat 28,613
29,Actual Address 29,Actual Long 29,Actual Lat 29,Matched Address 29,Matched Long 29,Matched Lat 29,527
30,Actual Address 30,Actual Long 30,Actual Lat 30,Matched Address 30,Matched Long 30,Matched Lat 30,8
31,Actual Address 31,Actual Long 31,Actual Lat 31,Matched Address 31,Matched Long 31,Matched Lat 31,8
